18:18:44.292 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.296 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.296 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.300 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.304 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.304 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.308 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.312 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.312 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.316 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.316 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.320 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.324 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.324 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.329 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.333 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.333 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.337 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.337 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.341 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.345 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.345 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.349 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.353 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.353 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.357 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.357 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.361 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.365 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.365 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.369 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.369 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.374 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.378 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.378 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.382 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.386 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.386 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.390 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.390 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.394 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.398 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.398 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.402 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.406 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.406 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.410 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.410 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.414 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.419 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.419 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.423 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.427 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.427 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.431 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.431 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.435 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.439 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.439 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.443 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.443 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.447 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.451 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.451 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.456 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.459 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.460 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.464 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.464 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.468 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.472 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.472 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.476 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.480 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.480 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.484 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.484 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.488 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.492 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.492 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.496 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.500 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.501 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.505 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.505 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.509 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.513 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.513 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.517 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.517 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.521 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.525 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.525 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.529 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.533 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.533 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.537 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.537 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.541 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.545 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.545 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.550 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.554 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.554 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.558 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.558 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.562 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.566 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.566 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.570 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.574 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.574 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.578 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.578 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.582 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.586 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.587 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.591 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.591 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.595 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.599 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.599 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.603 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.607 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.607 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.611 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.611 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.615 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.619 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.619 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.623 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.627 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.627 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.631 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.631 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.636 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.640 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.640 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.644 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.648 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.648 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.652 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.652 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.656 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.664 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.664 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.668 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.672 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.672 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.677 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.681 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.681 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.685 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.685 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.689 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.693 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.693 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.697 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.701 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.701 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.705 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.705 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.709 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.713 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.713 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.718 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.722 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.722 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.726 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.726 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.730 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.734 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.734 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.738 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.738 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.742 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.746 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.746 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.750 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.754 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.754 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.759 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.759 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.763 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.767 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.767 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.771 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.775 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.775 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.779 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.779 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.783 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.787 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.787 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.791 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.795 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.795 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.799 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.799 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.804 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.808 > X1 :0	 X2 :0	 Y :0	 Z:0
18:18:44.808 > X1 :1	 X2 :-1	 Y :0	 Z:0
18:18:44.812 > X1 :2	 X2 :-2	 Y :0	 Z:0
18:18:44.816 > X1 :3	 X2 :-3	 Y :0	 Z:0
18:18:44.816 > X1 :4	 X2 :-4	 Y :0	 Z:0
18:18:44.820 > X1 :5	 X2 :-5	 Y :0	 Z:0
18:18:44.824 > X1 :6	 X2 :-6	 Y :0	 Z:0
18:18:44.824 > X1 :7	 X2 :-7	 Y :0	 Z:0
18:18:44.828 > X1 :8	 X2 :-8	 Y :0	 Z:0
18:18:44.832 > X1 :9	 X2 :-9	 Y :0	 Z:0
18:18:44.832 > X1 :10	 X2 :-10	 Y :0	 Z:0
18:18:44.836 > X1 :11	 X2 :-11	 Y :0	 Z:0
18:18:44.840 > X1 :12	 X2 :-12	 Y :0	 Z:0
18:18:44.840 > X1 :13	 X2 :-13	 Y :0	 Z:0
18:18:44.845 > X1 :14	 X2 :-14	 Y :0	 Z:0
18:18:44.849 > X1 :15	 X2 :-15	 Y :0	 Z:0
18:18:44.849 > X1 :16	 X2 :-16	 Y :0	 Z:0
18:18:44.853 > X1 :17	 X2 :-17	 Y :0	 Z:0
18:18:44.857 > X1 :18	 X2 :-18	 Y :0	 Z:0
18:18:44.857 > X1 :19	 X2 :-19	 Y :0	 Z:0
18:18:44.861 > X1 :20	 X2 :-20	 Y :0	 Z:0
18:18:44.865 > X1 :21	 X2 :-21	 Y :0	 Z:0
18:18:44.865 > X1 :22	 X2 :-22	 Y :0	 Z:0
18:18:44.869 > X1 :23	 X2 :-23	 Y :0	 Z:0
18:18:44.873 > X1 :24	 X2 :-24	 Y :0	 Z:0
18:18:44.877 > X1 :25	 X2 :-25	 Y :0	 Z:0
