Hello from received
15:10:38.665 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.669 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.669 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.673 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.673 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.677 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.677 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.681 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.685 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.685 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.689 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.693 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.693 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.698 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.698 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.702 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.706 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.706 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.710 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.714 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.714 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.718 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.718 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.722 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.726 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.726 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.730 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.734 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.734 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.739 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.743 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.743 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.747 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.747 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.751 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.755 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.755 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.759 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.763 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.763 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.767 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.767 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.771 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.776 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.776 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.780 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.784 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.784 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.788 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.788 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.792 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.796 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.796 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.800 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.804 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.804 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.808 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.808 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.812 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.816 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.816 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.821 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.825 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.825 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.829 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.829 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.833 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.837 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.837 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.841 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.845 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.845 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.849 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.849 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.853 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.857 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.857 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.861 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.865 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.866 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.870 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.870 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.874 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.878 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.878 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.882 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.886 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.886 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.890 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.890 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.894 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.898 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.898 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.902 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.906 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.907 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.911 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.911 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.915 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.919 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.919 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.923 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.927 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.927 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.931 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.931 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.935 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.939 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.939 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.943 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.947 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.947 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.951 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.951 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.956 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.960 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.960 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.964 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.968 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.968 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.972 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.976 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.976 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.980 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.980 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.984 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.988 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.988 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.994 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.997 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:38.998 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.002 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.002 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.007 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.009 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.009 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.013 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.017 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.017 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.021 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.021 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.025 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.029 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.029 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.033 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.038 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.038 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.042 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.042 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.046 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.050 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.050 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.054 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.058 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.058 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.062 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.062 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.066 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.070 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.070 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.074 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.078 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.078 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.083 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.083 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.087 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.091 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.091 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.095 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.099 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.099 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.103 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.103 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.107 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.112 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.112 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.115 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.119 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.119 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.124 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.124 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.128 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.132 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.132 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.136 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.140 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.140 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.144 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.144 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.148 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.152 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.152 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.156 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.160 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.160 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.164 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.164 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.169 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.173 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.173 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.177 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.181 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.181 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.185 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.185 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.189 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.193 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.193 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.197 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.201 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.201 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.205 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.205 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.210 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.214 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.214 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.218 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.222 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.222 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.226 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.230 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.230 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.234 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.234 > X1 :0	 X2 :0	 Y :0	 Z:0
