18:25:51.605 > Hello from received
18:25:51.608 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.610 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.612 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.613 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.616 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.619 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.621 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.624 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.627 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.629 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.631 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.634 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.637 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.639 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.642 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.644 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.646 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.649 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.652 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.654 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.656 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.660 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.662 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.664 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.666 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.670 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.672 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.674 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.676 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.680 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.682 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.684 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.687 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.690 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.692 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.694 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.697 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.699 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.702 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.705 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.707 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.709 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.712 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.715 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.717 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.719 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.722 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.725 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.727 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.729 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.733 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.735 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.737 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.739 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.742 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.745 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.747 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.749 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.752 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.755 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.757 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.760 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.762 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.765 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.767 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.770 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.772 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.775 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.778 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.780 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.782 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.785 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.788 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.790 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.792 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.794 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.798 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.800 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.802 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.805 > X1 :0	 X2 :0	 Y :0	 Z:0
